generation,best_fitness,best_cost,best_breakdown_count,best_total_lateness_jam,generation_mean_fitness,generation_best_fitness,generation_best_cost
39,9.747111484936662e-07,1025943.9700000001,42,6058.790000000001,9.617568504410287e-07,9.747111484936662e-07,1025943.9700000001
40,9.747111484936662e-07,1025943.9700000001,42,6058.790000000001,9.690835084380455e-07,9.747111484936662e-07,1025943.9700000001
41,9.747111484936662e-07,1025943.9700000001,42,6058.790000000001,9.657973061073437e-07,9.747111484936662e-07,1025943.9700000001
42,9.748061829421687e-07,1025843.9500000001,42,6057.790000000001,9.652396233881433e-07,9.748061829421687e-07,1025843.9500000001
43,9.749012169155695e-07,1025743.9500000001,42,6056.790000000001,9.667721028501553e-07,9.749012169155695e-07,1025743.9500000001
44,9.749012264198935e-07,1025743.9400000001,42,6056.790000000001,9.679830095711833e-07,9.749012264198935e-07,1025743.9400000001
45,9.749012264198935e-07,1025743.9400000001,42,6056.790000000001,9.6938437523999e-07,9.749012264198935e-07,1025743.9400000001
46,9.750913594785163e-07,1025543.9300000002,42,6054.790000000001,9.639767616915813e-07,9.750913594785163e-07,1025543.9300000002
47,9.75091368986548e-07,1025543.9200000002,42,6054.790000000001,9.662268996629024e-07,9.75091368986548e-07,1025543.9200000002
48,9.75091368986548e-07,1025543.9200000002,42,6054.790000000001,9.67080360170889e-07,9.75091368986548e-07,1025543.9200000002
49,9.752815762258964e-07,1025343.9100000001,42,6052.790000000001,9.670903322333983e-07,9.752815762258964e-07,1025343.9100000001
50,9.752815762258964e-07,1025343.9100000001,42,6052.790000000001,9.670957139233682e-07,9.752815762258964e-07,1025343.9100000001
51,9.75281585737638e-07,1025343.9000000001,42,6052.790000000001,9.64698588125809e-07,9.75281585737638e-07,1025343.9000000001
52,9.75281585737638e-07,1025343.9000000001,42,6052.790000000001,9.656608909856365e-07,9.75281585737638e-07,1025343.9000000001
53,9.75281585737638e-07,1025343.9000000001,42,6052.790000000001,9.664687398228213e-07,9.75281585737638e-07,1025343.9000000001
54,9.75281585737638e-07,1025343.9000000001,42,6052.790000000001,9.70159408564007e-07,9.75281585737638e-07,1025343.9000000001
55,9.75281585737638e-07,1025343.9000000001,42,6052.790000000001,9.726062382953807e-07,9.75281585737638e-07,1025343.9000000001
56,9.754718767165866e-07,1025143.8800000001,42,6050.790000000001,9.669610923590525e-07,9.754718767165866e-07,1025143.8800000001
57,9.754718767165866e-07,1025143.8800000001,42,6050.790000000001,9.690520639070624e-07,9.754718767165866e-07,1025143.8800000001
58,9.754718767165866e-07,1025143.8800000001,42,6050.790000000001,9.673814293879618e-07,9.754718767165866e-07,1025143.8800000001
59,9.755670500550867e-07,1025043.8700000001,42,6049.790000000001,9.708152712360915e-07,9.755670500550867e-07,1025043.8700000001
60,9.755670500550867e-07,1025043.8700000001,42,6049.790000000001,9.660021652894829e-07,9.755670500550867e-07,1025043.8700000001
