model,val_RMSE,val_MAE,val_R2,test_RMSE,test_MAE,test_R2
Gradient Boosting,7.376717006714997,5.239073670778478,0.984658996682073,7.346515419494336,5.348085515872767,0.9839956222778784
Random Forest,7.508667917667345,4.513060310752483,0.9841052642249843,7.572262626005176,4.700259331295428,0.9829969301159418
Decision Tree,8.200764026588754,4.76564733198282,0.9810400953510238,9.507076732343565,5.186132248507883,0.9731978272503823
Ridge Regression,44.27603731781384,28.577521157367762,0.44733112395932606,42.081380880115155,27.026173878590278,0.47488313229463386
Dummy Mean,59.64266064623231,40.610785059523806,-0.0028628324139747807,58.08464164363388,39.952790610119045,-0.0004574724919079731
